Type_of_House,Property_Type,Price,Brokerage,Location,Furnish,Area_in_sqft,Bathrooms
3 BHK,Flat,100000,50000,Jubilee Hills,Fully Furnished,2500,3
4 BHK,Flat,70000,70000,Nizampet,Semi Furnished,3063,4
3 BHK,Flat,45000,45000,Chitrapuri Colony,Semi Furnished,2063,3
4 BHK,Villa,120000,120000.0,Madhapur,Fully Furnished,3000,4
2 BHK,Flat,29000,16000,Hafeezpet,Semi Furnished,1200,2
1 BHK,Flat,18000,10000,Kondapur,Semi Furnished,754,1
1 BHK,Flat,24500,15000,Kondapur,Fully Furnished,650,1
3 BHK,Flat,37000,25000,Kondapur,Semi Furnished,1750,2
1 BHK,Flat,16500,12000,Kondapur,Unfurnished,750,1
3 BHK,Flat,37000,18500,Kondapur,Semi Furnished,1800,2
1 BHK,Flat,23000,23000,Madhapur,Fully Furnished,700,1
2 BHK,Flat,33000,16500,Kondapur,Semi Furnished,1200,1
2 BHK,Flat,36000,18000,Kondapur,Fully Furnished,1400,2
3 BHK,Flat,40000,28000,Kondapur,Semi Furnished,1600,2
1 BHK,Flat,27000,27000,Kondapur,Fully Furnished,800,1
2 BHK,Flat,27000,13500,Kondapur,Semi Furnished,1150,2
2 BHK,Flat,28500,14250,Kondapur,Semi Furnished,1365,1
1 BHK,Flat,21000,9000,Kondapur,Semi Furnished,582,1
2 BHK,Flat,36500,18250,Kondapur,Fully Furnished,1200,1
3 BHK,Flat,140000,140000.0,Nallagandla,Fully Furnished,5000,3
3 BHK,Villa,110000,110000.00000000001,Kokapet,Fully Furnished,2800,3
1 BHK,Flat,15000,7500,Kondapur,Unfurnished,682,1
1 BHK,Flat,21000,14000,Kondapur,Semi Furnished,753,1
2 BHK,Flat,29000,20000,Kondapur,Semi Furnished,1250,1
2 BHK,Flat,40000,22000,Kondapur,Fully Furnished,1400,1
2 BHK,Flat,28000,18000,Kondapur,Semi Furnished,1150,1
1 BHK,Flat,25000,12500,Hafeezpet,Fully Furnished,550,1
2 BHK,Flat,37000,25000,Kondapur,Fully Furnished,1120,1
2 BHK,Flat,55000,55000,Kokapet,Semi Furnished,2275,2
3 BHK,Flat,60000,60000,Nanakaramguda,Semi Furnished,2438,3
2 BHK,Flat,75000,75000,Narsingi,Semi Furnished,2656,2
4 BHK,Flat,100000,1,Toli Chowki,Semi Furnished,5981,4
4 BHK,Flat,90000,90000,Nanakaramguda,Semi Furnished,3560,4
3 BHK,Flat,55000,55000,Kokapet,Fully Furnished,1738,3
3 BHK,Flat,60000,60000,Kondapur,Semi Furnished,2625,3
2 BHK,Flat,42000,42000,Hafeezpet,Semi Furnished,1688,2
2 BHK,Flat,50000,50000,Nallagandla,Semi Furnished,1888,2
3 BHK,Flat,55000,55000,Gopanapalli,Semi Furnished,2456,3
3 BHK,Flat,60000,60000,Kukatpally,Semi Furnished,2414,3
2 BHK,Flat,45000,45000,Borabanda,Fully Furnished,1563,2
3 BHK,Flat,65000,65000,Toli Chowki,Fully Furnished,2981,3
2 BHK,Flat,60000,60000,Manikonda,Semi Furnished,2828,2
3 BHK,Flat,75000,37500,Banjara Hills,Fully Furnished,2500,2
